date,category_click,헤드앤숄더샴푸,헤드앤숄더차콜,헤드앤숄더,헤드앤숄더프로페셔널,헤드앤숄더클리니컬스트렝스,비듬샴푸,지루성두피샴푸,안티트로샴푸,지성두피샴푸,비듬,팬틴,헤드앤숄더_경쟁,닥터그루트,케라시스,두피케어카테고리
2022-01-31,62.064516129032256,51.935483870967744,0.0,14.774193548387096,0.0,26.06451612903226,53.03225806451613,2.903225806451613,0.0,10.580645161290322,0.1935483870967742,2.9776,51.39372,35.63844,11.08035,81.55898
2022-02-28,64.53571428571429,57.92857142857143,0.0,16.75,0.0,28.035714285714285,60.75,4.0,0.0,12.428571428571429,0.5,3.27081,50.25981,26.80688,10.79952,77.78313
2022-03-31,62.29032258064516,56.193548387096776,0.0,16.29032258064516,0.0,26.258064516129032,48.67741935483871,3.870967741935484,0.0,11.483870967741936,0.3548387096774194,3.45522,53.10563,55.85726,10.279,75.48392
2022-04-30,59.86666666666667,55.333333333333336,0.0,17.4,0.0,30.0,44.4,4.0,0.0,10.133333333333333,0.6333333333333333,2.93603,41.44948,26.24656,9.25433,63.57481
2022-05-31,71.41935483870968,59.354838709677416,0.0,19.129032258064516,0.0,25.096774193548388,40.225806451612904,3.967741935483871,0.0,11.064516129032258,0.1935483870967742,2.88518,41.88023,43.70093,9.93361,69.13643
2022-06-30,74.93333333333334,54.5,0.0,16.066666666666666,0.0,18.433333333333334,29.366666666666667,3.6,0.0,10.066666666666666,0.36666666666666664,3.2655,43.01502,44.14892,10.02162,76.62844
2022-07-31,75.06451612903226,52.96774193548387,0.0,15.35483870967742,0.0,18.838709677419356,29.516129032258064,3.6129032258064515,0.0,8.064516129032258,0.16129032258064516,3.01917,40.76136,30.9467,11.43856,78.86441
2022-08-31,76.2258064516129,56.67741935483871,0.0,16.774193548387096,0.0,16.677419354838708,27.870967741935484,3.870967741935484,0.0,9.612903225806452,0.0967741935483871,3.76568,42.10046,36.96781,12.85373,75.17744
2022-09-30,64.13333333333334,45.53333333333333,0.0,14.833333333333334,0.0,15.7,25.3,3.466666666666667,0.0,9.133333333333333,0.13333333333333333,3.46672,36.53707,28.82129,10.76812,63.19581
2022-10-31,62.12903225806452,43.12903225806452,0.0,17.516129032258064,0.0,17.0,38.03225806451613,5.580645161290323,0.0,7.741935483870968,0.25806451612903225,3.46628,39.98169,27.01429,10.89947,79.62418
