scope,source,mode,topic_id,optimal_k,coherence,keywords
cafearticle,cafearticle,bigram,0,2,0.5951,"0.105*""클리니컬_스트렝스"" + 0.048*""토탈_솔루션"" + 0.032*""스트렝스_비듬"" + 0.020*""솔루션_클린"" + 0.018*""비듬_효과"" + 0.016*""오일_컨트롤"" + 0.013*""케어_트리트먼트"" + 0.012*""지루_피부염"""
cafearticle,cafearticle,bigram,1,2,0.5951,"0.064*""비듬_방법"" + 0.034*""비듬_각질"" + 0.032*""비듬_비듬"" + 0.016*""비듬_고민"" + 0.016*""건성_케어"" + 0.015*""지루_비듬"" + 0.015*""방법_비듬"" + 0.014*""각질_비듬"""
cafearticle,cafearticle,unibi_mix,0,3,0.338,"0.032*""비듬"" + 0.023*""지루"" + 0.022*""토탈"" + 0.022*""토탈_솔루션"" + 0.022*""솔루션"" + 0.017*""케어"" + 0.016*""클린"" + 0.014*""관리"""
cafearticle,cafearticle,unibi_mix,1,3,0.338,"0.111*""비듬"" + 0.039*""스트렝스"" + 0.030*""클리니컬"" + 0.027*""각질"" + 0.026*""클리니컬_스트렝스"" + 0.026*""방법"" + 0.022*""효과"" + 0.021*""탈모"""
cafearticle,cafearticle,unibi_mix,2,3,0.338,"0.045*""케어"" + 0.039*""비듬"" + 0.020*""효과"" + 0.015*""고민"" + 0.013*""지루"" + 0.013*""용량"" + 0.012*""건강"" + 0.011*""성분"""
youtube,youtube,unigram,0,5,0.365,"0.034*""뾰루지"" + 0.034*""기름"" + 0.020*""탈모"" + 0.017*""비듬"" + 0.012*""노화"" + 0.012*""가려움증"" + 0.012*""여성"" + 0.012*""걱정"""
youtube,youtube,unigram,1,5,0.365,"0.047*""각질"" + 0.045*""비듬"" + 0.033*""고민"" + 0.021*""아침"" + 0.019*""지성두피"" + 0.018*""냄새"" + 0.016*""저녁"" + 0.015*""친구"""
youtube,youtube,unigram,2,5,0.365,"0.075*""지루"" + 0.039*""탈모"" + 0.029*""성분"" + 0.025*""관리"" + 0.017*""중요"" + 0.017*""스트렝스"" + 0.016*""병원"" + 0.014*""고생"""
youtube,youtube,unigram,3,5,0.365,"0.093*""비듬"" + 0.050*""탈모"" + 0.028*""각질"" + 0.020*""머리카락"" + 0.018*""효과"" + 0.015*""동물"" + 0.015*""농약"" + 0.015*""관리"""
youtube,youtube,unigram,4,5,0.365,"0.059*""효과"" + 0.044*""비듬"" + 0.036*""지루성두피염"" + 0.031*""성분"" + 0.029*""설페이트"" + 0.021*""아누오틴"" + 0.021*""니조랄"" + 0.021*""직구"""
youtube,youtube,bigram,0,3,0.6103,"0.021*""핑크솔트_탈모"" + 0.017*""비듬_비듬"" + 0.015*""모발_이식"" + 0.014*""비듬_각질"" + 0.013*""각질_비듬"" + 0.012*""설페이트_성분"" + 0.012*""비듬_클리너"" + 0.011*""자극_관리"""
youtube,youtube,bigram,1,3,0.6103,"0.016*""클리니컬_스트렝스"" + 0.011*""라보_에이치"" + 0.010*""과정_화학"" + 0.010*""농약_검사"" + 0.010*""잔류_농약"" + 0.010*""화학_물질"" + 0.010*""코코넛_유래"" + 0.010*""피부_세정"""
youtube,youtube,bigram,2,3,0.6103,"0.030*""킹스_파워"" + 0.012*""각질_비듬"" + 0.012*""아침_저녁"" + 0.011*""천연_계면활성제"" + 0.011*""각질_킹스"" + 0.009*""염증_비듬"" + 0.008*""비듬_탈모"" + 0.008*""비듬_기름"""
youtube,youtube,unibi_mix,0,6,0.3865,"0.020*""세정"" + 0.015*""농약"" + 0.015*""동물"" + 0.015*""설페이트"" + 0.011*""라보"" + 0.009*""코코넛"" + 0.009*""실험"" + 0.009*""판매"""
youtube,youtube,unibi_mix,1,6,0.3865,"0.040*""성분"" + 0.023*""뾰루지"" + 0.020*""지루"" + 0.015*""트러블"" + 0.014*""케어"" + 0.012*""친구"" + 0.012*""스케일러"" + 0.012*""감사"""
youtube,youtube,unibi_mix,2,6,0.3865,"0.025*""지성"" + 0.023*""고민"" + 0.020*""아침"" + 0.019*""지성두피"" + 0.019*""탈모"" + 0.016*""저녁"" + 0.014*""냄새"" + 0.014*""관리"""
youtube,youtube,unibi_mix,3,6,0.3865,"0.094*""비듬"" + 0.039*""각질"" + 0.027*""효과"" + 0.022*""지루"" + 0.015*""지루성두피염"" + 0.015*""직구"" + 0.014*""건조"" + 0.013*""스트레스"""
youtube,youtube,unibi_mix,4,6,0.3865,"0.039*""탈모"" + 0.036*""관리"" + 0.028*""설페이트"" + 0.024*""효과"" + 0.023*""지루"" + 0.020*""모발"" + 0.019*""성분"" + 0.017*""감사"""
youtube,youtube,unibi_mix,5,6,0.3865,"0.041*""탈모"" + 0.033*""비듬"" + 0.027*""머리카락"" + 0.018*""파워"" + 0.017*""킹스"" + 0.017*""킹스_파워"" + 0.014*""각질"" + 0.014*""뾰루지"""
